Argument,Debate,Scheme
It is immoral to let people die simply because they cannot afford pain-relieving therapies. Palliative care should be made more accessible instead of legalizing euthanasia.,Should euthanasia be legalized?,1
"Humans have caused irreparable damage to the environment, and are causing constant harm, pain, and suffering to many other living organisms.
 All of this could be avoided if they didn't exist.",Would the world be a better place without humans?,2
"Without humans, animals and plants would be able to live and grow without the risks associated with human generated waste and anthropogenic climate change.",Would the world be a better place without humans?,2
Global warming would continue to exist; it exists regardless of the impact of humans.,Would the world be a better place without humans?,3
The impact of human activity has greatly exacerbated climate change (p. 1).,Would the world be a better place without humans?,4
"Without humans, a variety of species, habitats, and environments would have been changed by circumstances other than human influence and intervention. 
There is no guarantee that those natural changes would have been necessarily better than the changes caused by humans.",Would the world be a better place without humans?,3
The Earth would be able to heal and become a better place because the root cause for ecocide would simply not exist.,Would the world be a better place without humans?,2
The universe would be better without humans because humans are naturally selfish.,Would the world be a better place without humans?,1
Humans are the only ones that set aside stocks of resources for medium term use. This causes continued extraction/exploitation of the Earth in excess of current needs.,Would the world be a better place without humans?,3
"While humans and animals must consume to survive, human beings are immoral because they are intelligent enough to survive without killing yet continue
to harm other species.",Would the world be a better place without humans?,1
The universe probably isn't anthropocentric.,Would the world be a better place without humans?,1
"""Better"" is a value claim. The post-human universe may not make the same value judgement given that humans are an outcome of the evolving universe.",Would the world be a better place without humans?,1
"Selfishness has been associated with evolutionary advantages for many species, making the universe partially responsible for the selfishness of organisms that develop within it.",Would the world be a better place without humans?,3
The link between evolutionary selection and selfishness has been overturned due to recent findings that evolutionary pressures to cooperate and act selflessly are stronger.,Would the world be a better place without humans?,4
"Nature causes irreparable damage to itself as well as constant harm, pain, and suffering to other living organisms without any help from humans.
 None of this can be avoided without humans.",Would the world be a better place without humans?,3
Whenever human populations expand they take more land away from wild habitats which heavily restricts the freedom of all living organisms in that habitat often leading to many deaths as well.,Would the world be a better place without humans?,0
"Domesticated animals have no natural freedoms, they are almost entirely stripped away for the purpose of production for humans",Would the world be a better place without humans?,0
Humans also provide a habitat for billions of living organisms that reside in our bodies. Many of these creatures would go extinct without humans.,Would the world be a better place without humans?,2
"Not all animals suffer or feel pain, and thus cannot feel the effects of a loss of autonomy.",Would the world be a better place without humans?,3
"Suffering should be put in the context of the complexity of the nervous system. Animals tend to have less complex nervous systems than human beings,
 which implies that they have a reduced capacity for suffering.",Would the world be a better place without humans?,3
Scientists studying other creatures are constantly discovering how much more complex other life forms are than previously assumed.,Would the world be a better place without humans?,4
"Many cephalopods, decapods, and other invertebrates feel pain, debunking the previous understanding of their nature.",Would the world be a better place without humans?,0
All of humanity need not necessarily contribute to a cataclysmic event. It only takes a handful of individuals to use nuclear weapons for most life to be destroyed on the planet.,Would the world be a better place without humans?,3
"Value judgements are only relevant for human beings who assign value, meaning that the Earth cannot be better or worse without human beings to make value judgments about it.",Would the world be a better place without humans?,1
If the world would be better or worse is subjective as those things aren't intrinsic qualities of something.,Would the world be a better place without humans?,1
"There are general or pragmatic standards for Earthly wellness, like the stability of weather patterns or the preservation of species, that could be adopted without falling into naive subjectivism.",Would the world be a better place without humans?,1
"If the species making such a judgement does not exist and therefore cannot ascertain a value, it is impossible for the Earth to be better off.",Would the world be a better place without humans?,3
"The point of judging our existence on Earth is for humans to decide whether or not our presence is better than our absence. The question is an internal reflection, not outwardly asking the Earth itself.",Would the world be a better place without humans?,1
Removing humans from the picture would most likely benefit the remaining conscious beings on the planet.,Would the world be a better place without humans?,2
"All human suffering would be eliminated without humans. In this manner, the world would in fact be better, even if only in the eyes of the humans who lived prior to their extinction.",Would the world be a better place without humans?,2
"Humans are the most advanced species that has ever been on Earth, and humanity is still evolving. Removing humanity from existence would eliminate this progress.",Would the world be a better place without humans?,5
"Humans might be the most advanced species in the entire universe. If humanity did not exist, the universe could lose the species with the most advanced consciousness.",Would the world be a better place without humans?,3
"In near future, humanity could develop a reliable technological ability to protect the planet and life from extinction events.",Would the world be a better place without humans?,2
"Humans have created a unique set of values, cultures, and traditions in a way that only they could. To say the world would be a better place without humans is to fail to take into account the complex and rich culture of every human society.",Would the world be a better place without humans?,0
These technological advancements have no inherent value to the universe and are only of limited value to humans.,Would the world be a better place without humans?,1
"Just because humans are the most advanced species, doesn't mean we make the Earth better. We are too smart for our own good- we create factories and cars and such that just destroy our atmosphere.",Would the world be a better place without humans?,0
Removing humans means giving chance for new intelligent life to develop.,Would the world be a better place without humans?,2
"In the cosmic perspective of life, there is no absolute sense of ""good"" and ""bad"".That's a human-created concept that wouldn't matter if humans were eradicated. Therefore, it makes humanity's existence irrelevant.",Would the world be a better place without humans?,1
Retrocausality is possible in some interpretations of quantum physics.,Free Will or Determinism: Do we have free will?,0
"Retrocausation provides a viable alternative to the problematic superdeterminism vs. 
action-at-a-distance debate by preserving local causation (link).",Free Will or Determinism: Do we have free will?,4
"The laws of physics, as we know them, are either deterministic or fundamentally random. In both cases,
 they are out of our control.",Free Will or Determinism: Do we have free will?,3
"The laws of physics are probabilistic, meaning that events and motivations merely change the distribution of possible 
outcomes and choices, but don't necessarily determine them.",Free Will or Determinism: Do we have free will?,3
"The Earth orbiting around the Sun was not compatible with our understanding of the mechanisms that govern the
 universe less than 500 years ago, yet is now accepted as fact.",Free Will or Determinism: Do we have free will?,0
"If entropy leads to universal randomness and randomness is the lack of all deterministic forces, then at least one part 
of a wholly deterministic universe is false, meaning there most be something else influencing the universe outside 
of determinism.",Free Will or Determinism: Do we have free will?,3
"The inexistence of free will cannot be scientifically proven as it would be impossible to put two distinct human 
beings in exactly the same conditions twice and observe their decisions.",Free Will or Determinism: Do we have free will?,3
"Determinism based on physical causation inherits the philosophical doubt about causality expressed most famously 
by Hume: we can't in the end tell the difference between ""A causes B"" and ""A happens then B happens"".",Free Will or Determinism: Do we have free will?,4
"By Occam's Razor, the simplest explanation for the lack of empirical evidence for the existence of free will
 is that free will does not exist.",Free Will or Determinism: Do we have free will?,4
Free will and determinism are not mutually exclusive because freedom and weak forms of determinism are compatible.,Free Will or Determinism: Do we have free will?,3
"Compatiblism is a widely held position within the academic community, which suggests that it is plausible in many
 different forms.",Free Will or Determinism: Do we have free will?,4
The consensus among academics lends reasonable credibility to the accuracy of a position relative to the general public.,Free Will or Determinism: Do we have free will?,4
"Debating necessarily involves the implicit assumption that it's possible in principle to change the minds of others 
involved. This is only possible if the participants are free in some sense.",Free Will or Determinism: Do we have free will?,0
"Computer programs can and have participated in a debate, yet lack free will.",Free Will or Determinism: Do we have free will?,0
"Free will could be like gravity, which is a set of assumptions that are only supported by our observations of 
how they impact other things.",Free Will or Determinism: Do we have free will?,7
"Current science falls short of explaining consciousness and personhood. Thus restricting the conversation to purely
 scientific description of the topic would leave the discussion incomplete.",Free Will or Determinism: Do we have free will?,0
"Unknowns and incompleteness are not problematic for the scientific process.
 Despite not fully understanding what the force of gravity is, scientific studies and models remain useful.",Free Will or Determinism: Do we have free will?,0
Life can't be given back. So the death penalty carries the risk of ruining innocent people lives.,Should the death penalty be abolished?,2
Research has estimated that many death row inmates were wrongly convicted and could have been exonerated.,Should the death penalty be abolished?,4
The death penalty negatively affects both the families of the victims as well as the defendant(s).,Should the death penalty be abolished?,2
The death penalty does not sufficiently punish criminals as they will not experience the long-term struggles of imprisonment.,Should the death penalty be abolished?,2
It is more humane to kill people than to restrain their liberty for life.,Should the death penalty be abolished?,6
"Restraining liberty is done to protect the well-being of others. Once someone is restrained, the decision to live or die should be theirs alone.",Should the death penalty be abolished?,1
"Killing someone is irreversible, whereas someone in prison can always commit suicide.",Should the death penalty be abolished?,5
"This manner of justice motivates and perpetuates violence and brutality. Death penalty often sends the wrong message ‘we kill people to
 show that killing is wrong’. If we are to advance as a society, then we have to move from the ‘an eye for an eye’ revenge mentality.",Should the death penalty be abolished?,1
Death penalty is not applied fairly in all countries.,Should the death penalty be abolished?,2
"The death penalty is often used in a disproportional manner against the poor, minorities and members of racial, ethnic, political and religious groups.",Should the death penalty be abolished?,4
No person has the moral authority to determine that another person deserves to die.,Should the death penalty be abolished?,1
Some crimes deserve the death penalty.,Should the death penalty be abolished?,1
"This Capital punishment does not address the root cause of the crime. Our focus should be on preventing crime rather than killing criminals 
and supporting violence.",Should the death penalty be abolished?,6
There are many examples of killing that are generally accepted as moral acts. Killing in battle is viewed as heroic.,Should the death penalty be abolished?,0
"The death penalty goes against our most basic human right, the right to life.",Should the death penalty be abolished?,1
"Since murder is justified in self defense, the right to life is not particularly sacred.",Should the death penalty be abolished?,7
It is cheaper for the society to execute people.,Should the death penalty be abolished?,2
It is immoral to value saving resources at the cost of the life of a human being.,Should the death penalty be abolished?,1
"With due process, it is objectively more expensive to seek the death penalty rather than life imprisonment.",Should the death penalty be abolished?,2
"If the death penalty was in regular use, improvements would be made and the cost would be lowered over time.",Should the death penalty be abolished?,6
The death sentence provides an effective deterrent in terms of stopping other people from committing the same crime.,Should the death penalty be abolished?,2
"Among the 25 states in the US with the highest murder rate, 20 have the death penalty.",Should the death penalty be abolished?,0
"In a study, 88.2% of criminology experts interviewed do not think that the death penalty deters murder.",Should the death penalty be abolished?,4
Giving a killer the death sentence will ensure that they do not do it again and hence saves innocent lives.,Should the death penalty be abolished?,2
Punishing people for crimes they might commit in the future is unethical.,Should the death penalty be abolished?,1
Long/life sentences already serve as a deterrent to crime.,Should the death penalty be abolished?,6
"Properly restraining a criminal ensures others will be safe, killing them is unnecessary and hypocritical.",Should the death penalty be abolished?,6
"Despite a wide variety of attempted measures, COVID-19 has continued to spread at a dangerous rate - vaccines are the best remaining option to protect and improve our lives.",Should Covid-19 vaccines be mandatory?,2
"Vaccines have eradicated diseases in the past, like rinderpest and smallpox (p. 4).",Should Covid-19 vaccines be mandatory?,0
"During the SARS outbreak, strong public health measures were able to sufficiently stop the spread of the virus without requiring vaccination.",Should Covid-19 vaccines be mandatory?,6
There has not been perfect enforcement of other measures. New Zealand's example proves that incidences of COVID-19 spread can be virtually eliminated without a vaccine.,Should Covid-19 vaccines be mandatory?,0
Vaccines are the least harmful way to mitigate the spread of COVID-19.,Should Covid-19 vaccines be mandatory?,2
Maintaining social distancing measures long-term could have severe impacts on the global economy and exacerbate harms to marginalized communities.,Should Covid-19 vaccines be mandatory?,5
Social distancing measures have an especially devastating impact on lives and livelihoods in developing countries.,Should Covid-19 vaccines be mandatory?,0
Technology and social innovations can help mitigate the harms of social distancing.,Should Covid-19 vaccines be mandatory?,3
"Any COVID-19 vaccine produced is unlikely to undergo the level of clinical testing necessary to confirm it is both safe, and effective.",Should Covid-19 vaccines be mandatory?,3
It is an infringement of the right to personal autonomy.,Should Covid-19 vaccines be mandatory?,1
"This would be unconstitutional based on freedom of privacy, and contrary to the constitutional principles arrived at in Roe vs Wade.",Should Covid-19 vaccines be mandatory?,4
It is a duty of the state to protect its citizens from life-threatening diseases such as COVID-19.,Should Covid-19 vaccines be mandatory?,1
"There is already a precedent for the state passing laws governing bodily choices in the name of public safety, such as banning the use of methamphetamine.",Should Covid-19 vaccines be mandatory?,7
"In some places in the US, healthcare workers are required to get vaccinated against the seasonal flu or to provide a reason for exemption from their physician.",Should Covid-19 vaccines be mandatory?,0
Forcing citizens to undergo a medical procedure against their will increases mistrust in public institutions and increases the influence of the anti-vaccination movement.,Should Covid-19 vaccines be mandatory?,5
The state should not mandate its citizens to undertake tasks that may carry a risk of harm.,Should Covid-19 vaccines be mandatory?,1
"Mandatory vaccinations can be enforced through non-state actors such as workplaces, stores and privately owned public spaces, which could require a proof of vaccination for entry.",Should Covid-19 vaccines be mandatory?,6
"Airlines sometimes require ""fitness to fly"" certificate from passengers flying with them. This could be extended to include proof of immunization from COVID-19.",Should Covid-19 vaccines be mandatory?,7
The quickest and safest way to develop herd immunity is through a mandatory vaccination policy.,Should Covid-19 vaccines be mandatory?,4
The possibility of reinfection has not yet been ruled out and would make attaining herd immunity practically impossible.,Should Covid-19 vaccines be mandatory?,3
"Due to growing anti-vaccination sentiment, it is unlikely that the government will be able to enforce mandatory vaccinations.",Should Covid-19 vaccines be mandatory?,3
Attaching vaccine requirements to attend schools or daycares have been shown to significantly increase the vaccination rate to herd immunity levels in the US (p. 269).,Should Covid-19 vaccines be mandatory?,0
Providing vaccinations to an entire population requires huge amounts of resources which can otherwise be used towards addressing more urgent public health issues.,Should Covid-19 vaccines be mandatory?,6
"Governments have given billions of taxpayers dollars to different drug companies to make the COVID-19 vaccine, much of which could be wasted if the vaccine doesn't work.",Should Covid-19 vaccines be mandatory?,5
"COVID-19 is the most urgent public health issue at the moment, and should therefore have priority.",Should Covid-19 vaccines be mandatory?,1
Mandatory vaccine policies have proved extremely helpful in the fight against other preventable illnesses.,Should Covid-19 vaccines be mandatory?,7
A mandatory vaccine policy would vastly increase already present inequalities in medical treatment.,Should Covid-19 vaccines be mandatory?,5
Differences over how to distribute the vaccine in a mandatory system will lead to some people being prioritized over others.,Should Covid-19 vaccines be mandatory?,3
"A mandatory vaccine policy would It will be easier for rich countries to access, produce and distribute COVID-19 vaccines. These countries will therefore recover faster from the pandemic. 
This will increase existing inequality in public health and economy between rich and poor countries.greatly increase competition between countries for supply, increasing the already inequitable distribution of vaccines throughout the world.",Should Covid-19 vaccines be mandatory?,3
Mandatory vaccination could result in rich countries hoarding vaccines for their population. This could make vaccines inaccessible or unaffordable for poorer countries.,Should Covid-19 vaccines be mandatory?,3
"A study of European countries discovered, ""Those [countries] where a vaccination is mandatory do not usually reach better coverage than neighbour or similar countries where there is no legal obligation.""",Should Covid-19 vaccines be mandatory?,4
"While the United States has been relatively prosperous and successful for centuries, countries that presented themselves as 
alternatives to Capitalism dissolved, for example the Soviet Union.",Is capitalism the most moral system?,0
"Capitalism is the only economic system that allows individuals to be independent and autonomous in acting socially and
economically without the intrusion of government.",Is capitalism the most moral system?,2
"Capitalism, by virtue of the free market and a general lack of state intervention, enables more freedom than any comparable systems.",Is capitalism the most moral system?,2
"One of the foundations of capitalism is the idea that transactions should be voluntary and not imposed, as is the case for
 government-mandated taxes.",Is capitalism the most moral system?,1
Capitalism puts people under constant stress through the way it structures life.,Is capitalism the most moral system?,5
"Even though it causes stress, capitalism may still cause less stress than any alternative system.",Is capitalism the most moral system?,6
"Capitalism is based upon free trade, which has been found to make people nicer.",Is capitalism the most moral system?,4
Capitalism promotes co-operation.,Is capitalism the most moral system?,1
"Capitalism in its most basic form (the use of a common mean of value to make a trade) is morally neutral, because it's neither
 good nor bad.",Is capitalism the most moral system?,1
"Capitalism, by virtue of being the system which most closely adheres to natural selection, is the most moral system.",Is capitalism the most moral system?,1
"This is the naturalistic fallacy. By this reasoning, rape and murder are moral because they are also natural.",Is capitalism the most moral system?,7
Capitalism inevitably leads to various forms of exploitation.,Is capitalism the most moral system?,5
"Capitalism does not take externalities into account, many of which are devastating to both people and the environment.",Is capitalism the most moral system?,5
Pollution and the usage of fossil fuels would be examples of this.,Is capitalism the most moral system?,0
Capitalism treats people as equals.,Is capitalism the most moral system?,1
"And neither in risk. If the company fails the employee only loses their job, while the employer might lose their entire life savings
 and go bankrupt.",Is capitalism the most moral system?,1
"Losing one's job has a higher probability of leading to bankruptcy, homelessness and starvation than losing one's business.",Is capitalism the most moral system?,0
"Capitalism, more than any other system put into thought or action, helps the poor.",Is capitalism the most moral system?,2
Incentivizing moral behavior is de facto an ok thing to do because it causes more moral behavior to take place.,Is it ok to incentivise moral behavior?,2
Bought morality is not morality. Incentivising moral behavior reduces ethics to the category of compliance.,Is it ok to incentivise moral behavior?,5
"By reducing ethics to behavioral inducements, the system devalues the ethicality of all actions, regardless of their objective desirability. Source",Is it ok to incentivise moral behavior?,5
Being paid to behave morally is not the right reason to do so.,Is it ok to incentivise moral behavior?,1
"A person may do the right thing without an incentive being necessary, however it may be perceived as just an added perk.",Is it ok to incentivise moral behavior?,3
Paying someone for morality is like paying a bribe.,Is it ok to incentivise moral behavior?,7
"Since what is morally correct is subjective, incentivising morally correct behaviour is no different that incentivising morally incorrect behavior.",Is it ok to incentivise moral behavior?,7
"Using a promotion as an incentive for treating customers well can help a business's reputation, thus making it mutually beneficial.",Is it ok to incentivise moral behavior?,2
"Rewarding customer service employees, for example, may improve the quality of service provided to customers. This can then create a favorable reputation for the business.",Is it ok to incentivise moral behavior?,0
Morality is not objectively measurable so incentivising it effectively is not possible.,Is it ok to incentivise moral behavior?,3
A group of people (e.g. an ethics committee) could be a good judge.,Is it ok to incentivise moral behavior?,0
Morality is objective.  (link to other kialo debate),Is it ok to incentivise moral behavior?,4
"One can measure certain good deeds quantitatively, such as the amount of money donated or the number of people helped over the street.",Is it ok to incentivise moral behavior?,0
The intrinsic value of morality is lower than the practical value of ensuring consistent moral behaviour throughout society.,Is it ok to incentivise moral behavior?,1
Societies do not punish people that would love to steal something but aren't capable of executing the heist.,Is it ok to incentivise moral behavior?,7
Moral behaviour is relative; sociologically driven reinforcement of 'correct' behaviour is helpful.,Is it ok to incentivise moral behavior?,1
Moral behaviour is not something which is inherent to human beings and needs to be taught. Helping people improve their moral behaviour should therefore be commended.,Is it ok to incentivise moral behavior?,1
"Children are taught the difference between right and wrong by their parents. Without this guidance, they would behave in a manner that is more in alignment with instinct than moral correctness.",Is it ok to incentivise moral behavior?,3
Moral behavior's inherency to human nature is irrelevant to whether or not incentivizing moral behavior is good.,Is it ok to incentivise moral behavior?,1
"The only one that can properly evaluate the morality of an action is the person performing the action.
Therefore, incentivising the behaviour can only be done subjectively.
",Is it ok to incentivise moral behavior?,3
"Some people get to be known for their moral attitude and impactful choices not only by themselves and their colleagues, but also get recognised as morally good by wider population. Virtue of those could be easily recognised and rewarded.",Is it ok to incentivise moral behavior?,1
Not being punished for rule-breaking and enjoying the liberties and benefits of not being incarcerated are equivalent to directly incentivizing good behavior.,Is it ok to incentivise moral behavior?,7
"As incentives are usually scarce, this will lead to competition. People competing for morality is not ok.",Is it ok to incentivise moral behavior?,3
Competition means you can either make yourself look good or others look bad. This is not good for overall morality.,Is it ok to incentivise moral behavior?,1
Incentivising moral behaviour sends a clear message that morality is valued.,Is it ok to incentivise moral behavior?,3
Behaving ethically should be the “ticket of admission” for even having a job Source,Is it ok to incentivise moral behavior?,4
Incentivising moral behavior is the easiest way to get people to do the right thing.,Is it ok to incentivise moral behavior?,2
"If doing the right thing is costly, it would be good to compensate.",Is it ok to incentivise moral behavior?,2
Whistle-blowers often pay a high price for doing the right thing. This is very discouraging for other potential whistle-blowers. Compensation would mitigate this effect.,Is it ok to incentivise moral behavior?,0
The perspective of compensation might encourage false cases of whistle-blowing.,Is it ok to incentivise moral behavior?,5
It might make whistle-blowing an interesting tool for employees who hold a grudge against their employer.,Is it ok to incentivise moral behavior?,5
A one-size-fits-all prescription to good health is both ideologically and practically dangerous.,Do people have a right to not wear a mask in public spaces during the Covid-19 pandemic?,1
"The UK government has made exceptions to the rule requiring masks for specific groups of people.
 This is an acknowledgement of the practical dangers of a one-size-fits-all prescription.",Do people have a right to not wear a mask in public spaces during the Covid-19 pandemic?,3
It is not reasonable for everyone to wear masks.,Do people have a right to not wear a mask in public spaces during the Covid-19 pandemic?,1
"For people with certain underlying conditions and medical considerations, mask wearing is not possible.",Do people have a right to not wear a mask in public spaces during the Covid-19 pandemic?,3
"Many rape survivors, for whom wearing a mask can trigger trauma and flashbacks, are being stigmatized for not wearing masks.",Do people have a right to not wear a mask in public spaces during the Covid-19 pandemic?,0
"Mandating mask-wearing during a pandemic is like mandating safety/hand brakes on a car. It may never be required
 but is in everyone’s interest that it is there and working if it is required.",Do people have a right to not wear a mask in public spaces during the Covid-19 pandemic?,7
COVID-19 is universally transmitted through infected secretions and through respiratory droplets. ,Do people have a right to not wear a mask in public spaces during the Covid-19 pandemic?,3
"During a world pandemic, it is important to be guided by those who are more informed than we are.",Do people have a right to not wear a mask in public spaces during the Covid-19 pandemic?,1
"While certain attributes of the virus are still being investigated, the overwhelming consensus is that the wearing of masks will limit the spread of the virus.",Do people have a right to not wear a mask in public spaces during the Covid-19 pandemic?,4
Educating people will more effectively guide them to make responsible decisions regarding mask-wearing.,Do people have a right to not wear a mask in public spaces during the Covid-19 pandemic?,6
"Mandatory face mask wearing, and the undercutting of people's rights not to wear one, provoked protests in Spain.",Do people have a right to not wear a mask in public spaces during the Covid-19 pandemic?,0
"In many places, such as Florida, mask wearing is not mandatory, and yet there have been protests 
(https://abc7news.com/viral-target-anti-mask-video-protesters-parade-around-store-demand-customers-remove-face-masks-rant-caught-on/6428893/).",Do people have a right to not wear a mask in public spaces during the Covid-19 pandemic?,0
"Most anti-maskers are not educated on the benefits of wearing masks; whereas government officials 
and researchers who recommend masks to the point of making it mandatory are much more informed.",Do people have a right to not wear a mask in public spaces during the Covid-19 pandemic?,4
"Statistical modeling studies of mortality rate shows that masks significantly reduce the loss of life.",Do people have a right to not wear a mask in public spaces during the Covid-19 pandemic?,4
Wearing facemasks help prevent the spread of COVID-19.,Do people have a right to not wear a mask in public spaces during the Covid-19 pandemic?,2
A systematic review of 172 studies revealed that masks are effective at protecting people form COVID-19.,Do people have a right to not wear a mask in public spaces during the Covid-19 pandemic?,4
"Now that research has demonstrated its definite benefits, the CDC website officially recommends that masks be worn.",Do people have a right to not wear a mask in public spaces during the Covid-19 pandemic?,4
People's choice to not wear a mask must be respected.,Do people have a right to not wear a mask in public spaces during the Covid-19 pandemic?,1
People have the right to bodily autonomy and integrity. They should not be forced to wear masks if they don't wish to.,Do people have a right to not wear a mask in public spaces during the Covid-19 pandemic?,1
"The Jacobsen v. Massachusetts case in the US shows that masks do not violate the constitutional right to bodily integrity 
because they are required to protect public health.",Do people have a right to not wear a mask in public spaces during the Covid-19 pandemic?,4
This right to bodily autonomy is not without limits. Prostitution is illegal in many countries.,Do people have a right to not wear a mask in public spaces during the Covid-19 pandemic?,0
"The government has a moral obligation to reasonably restrict personal choices, especially ones that harm the public good.",Do people have a right to not wear a mask in public spaces during the Covid-19 pandemic?,1
Not wearing a mask can constitute self-harm and the state is obligated to prevent such harm by limiting choice.,Do people have a right to not wear a mask in public spaces during the Covid-19 pandemic?,7
"Individual choice of clothing is already restricted by laws prohibiting ""indecent exposure"", so it is not uncommon that the government regulates 
what people are allowed to wear (or not wear).",Do people have a right to not wear a mask in public spaces during the Covid-19 pandemic?,7
"If people's choices cause harm to other people, their choices should be restricted.",Do people have a right to not wear a mask in public spaces during the Covid-19 pandemic?,1
It is very well accepted that certain liberties should be curtailed where they would affect other people - consider the illegality of murder and theft.,Do people have a right to not wear a mask in public spaces during the Covid-19 pandemic?,7
"For most people, wearing a mask poses no risk. It is therefore justified that people are required to wear a mask 
since it does no harm to people wearing them but reduces harm for others and oneself.",Do people have a right to not wear a mask in public spaces during the Covid-19 pandemic?,2
"Public health has long been used as a justification to curtail civil liberties, such as mandatory quarantine for those with yellow fever in 1799.",Do people have a right to not wear a mask in public spaces during the Covid-19 pandemic?,0
Many people do not wear facemasks properly. This could increase the risk of infection to oneself or others.,Do people have a right to not wear a mask in public spaces during the Covid-19 pandemic?,5
A study has shown that people wearing a mask are less likely to touch their faces than those who don't wear a mask.,Do people have a right to not wear a mask in public spaces during the Covid-19 pandemic?,4
"Even if some people wear masks incorrectly, the net effect of wearing masks is still positive.",Do people have a right to not wear a mask in public spaces during the Covid-19 pandemic?,2
Even the WHO advice on masks has changed over time.,Do people have a right to not wear a mask in public spaces during the Covid-19 pandemic?,0
Schools should close during the Covid-19 pandemic because that would reduce the rate of infection of Covid-19.,Should schools close during the Covid-19 pandemic?,2
Schools can reduce cohort sizes to decrease the chances of widespread Covid-19 transmission.,Should schools close during the Covid-19 pandemic?,4
School closures negatively impact students' academic performance.,Should schools close during the Covid-19 pandemic?,5
"A study showed that, when students return to school, they will only have 63 to 68% of the learning gains in reading and 37 to 50% of the learning
 gains in mathematics relative to the average school year.",Should schools close during the Covid-19 pandemic?,4
A study found that students learn better when studying from home.,Should schools close during the Covid-19 pandemic?,4
Remote learning is a good substitute for in-person education.,Should schools close during the Covid-19 pandemic?,4
"First of all, school closures reduce the risk of illness. And it hardly affects the quality of education (at school) or, on the contrary, improves, because you can watch webinars.",Should schools close during the Covid-19 pandemic?,2
Many students have been thriving in remote education due to the ability to self-pace.,Should schools close during the Covid-19 pandemic?,0
Online schooling does not allow for an accurate assessment of the progress of students.,Should schools close during the Covid-19 pandemic?,5
Students in remote learning programs tend to score lower than those engaging in in-person education.,Should schools close during the Covid-19 pandemic?,5
